x,y
346,272
495,98
687,466
663,240
855,439
690,479
583,143
707,370
408,469
693,398
842,614
479,134
496,482
972,506
172,302
80,647
893,267
344,341
183,648
694,497
230,488
712,312
827,99
233,420
436,92
313,413
97,248
712,297
758,399
878,643
827,154
437,429
99,443
768,297
530,298
955,13
830,374
453,302
279,310
702,29
58,477
658,615
461,336
507,192
599,503
141,367
115,620
370,626
506,7
337,406
266,625
458,287
108,503
22,309
299,514
899,131
926,228
780,149
939,99
711,614
715,340
253,169
880,236
210,579
174,597
105,151
420,541
290,54
496,257
157,288
729,291
267,453
46,532
370,515
535,127
402,490
952,160
263,31
90,45
750,28
242,422
815,644
240,2
776,497
536,432
141,357
297,17
2,67
920,526
55,277
219,220
56,22
832,547
110,285
280,220
627,392
251,385
897,328
13,560
259,209
